Date,High_Moderna,Low_Moderna,Open_Moderna,Close_Moderna,Volume_Moderna,Adj Close_Moderna,High_Inovio Pharmaceuticals,Low_Inovio Pharmaceuticals,Open_Inovio Pharmaceuticals,Close_Inovio Pharmaceuticals,Volume_Inovio Pharmaceuticals,Adj Close_Inovio Pharmaceuticals,High_Novavax,Low_Novavax,Open_Novavax,Close_Novavax,Volume_Novavax,Adj Close_Novavax,High_BioNTech,Low_BioNTech,Open_BioNTech,Close_BioNTech,Volume_BioNTech,Adj Close_BioNTech
06-11-2019,17.48999977,16.04999924,16.82999992,16.12999916,1575400,16.12999916,2.549999952,2.450000048,2.549999952,2.50999999,935600,2.50999999,4.559999943,4.400000095,4.449999809,4.420000076,407300,4.420000076,18.65999985,17.03000069,18.38999939,17.37999916,88100,17.37999916
07-11-2019,17.6079998,16.28000069,16.32999992,17.5,2043600,17.5,2.640000105,2.450000048,2.50999999,2.579999924,990400,2.579999924,4.579999924,4.320000172,4.440000057,4.5,432600,4.5,18.57999992,17.36000061,17.36000061,18.42000008,47700,18.42000008
08-11-2019,17.5,17.11000061,17.25,17.48999977,973600,17.48999977,2.609999895,2.460000038,2.539999962,2.519999981,700600,2.519999981,4.849999905,4.349999905,4.639999866,4.590000153,858200,4.590000153,19.13999939,18.35000038,18.35000038,18.87000084,78100,18.87000084
11-11-2019,17.52000046,17.20000076,17.32999992,17.39999962,941900,17.39999962,2.5,2.410000086,2.480000019,2.450000048,808700,2.450000048,4.630000114,4.260000229,4.630000114,4.349999905,634900,4.349999905,19.97999954,19.04000092,19.36000061,19.73999977,148100,19.73999977
12-11-2019,18.10000038,17.3029995,17.34000015,17.98999977,1978300,17.98999977,2.539999962,2.359999895,2.420000076,2.440000057,599200,2.440000057,4.329999924,4.099999905,4.309999943,4.139999866,785700,4.139999866,19.70999908,17.06999969,19.5,17.63999939,228200,17.63999939
13-11-2019,18.5,17.70999908,18,18.25,2014800,18.25,2.390000105,2.200000048,2.390000105,2.309999943,1203100,2.309999943,4.199999809,4.019999981,4.199999809,4.190000057,703300,4.190000057,18.92000008,17.79999924,17.79999924,18.54999924,55700,18.54999924
14-11-2019,18.5,17.90999985,18.15999985,18.34000015,1532500,18.34000015,2.319999933,2.190000057,2.299999952,2.200000048,703400,2.200000048,4.349999905,4.090000153,4.190000057,4.21999979,447200,4.21999979,19.37000084,18.64699936,18.86000061,19,61800,19
15-11-2019,19.43000031,18.35000038,18.38999939,19.37000084,1880000,19.37000084,2.390000105,2.200000048,2.25,2.349999905,785600,2.349999905,4.260000229,4.03000021,4.260000229,4.110000134,665100,4.110000134,19.79999924,19.02000046,19.10000038,19.23999977,65600,19.23999977
18-11-2019,19.45000076,18.67000008,19.20999908,19.45000076,920600,19.45000076,2.380000114,2.25,2.369999886,2.279999971,448900,2.279999971,4.110000134,3.799999952,4.099999905,3.829999924,1003200,3.829999924,20.5,19.14999962,19.14999962,19.70000076,120000,19.70000076
19-11-2019,19.87000084,19.08200073,19.27000046,19.36000061,1144700,19.36000061,2.529999971,2.269999981,2.269999981,2.369999886,737600,2.369999886,3.950000048,3.700000048,3.869999886,3.75,700200,3.75,20.69000053,19.5,19.63999939,20.32999992,99200,20.32999992
20-11-2019,20.39999962,19.35000038,19.37999916,20.18000031,2316500,20.18000031,2.5,2.369999886,2.369999886,2.450000048,874600,2.450000048,3.809999943,3.690000057,3.779999971,3.690000057,480700,3.690000057,21.67000008,19.97999954,20,20.35000038,160300,20.35000038
21-11-2019,20.31999969,19.69000053,19.97999954,20.20000076,1202500,20.20000076,2.519999981,2.400000095,2.480000019,2.5,961000,2.5,3.900000095,3.539999962,3.700000048,3.809999943,512400,3.809999943,22,18.60000038,20.79999924,19.68000031,190000,19.68000031
22-11-2019,20.72999954,19.86000061,20.06999969,20.69000053,1443300,20.69000053,2.529999971,2.450000048,2.5,2.5,495600,2.5,3.839999914,3.710000038,3.809999943,3.75999999,342600,3.75999999,21.97999954,20,20,21.32999992,89900,21.32999992
25-11-2019,21,19.95000076,20.89999962,20,1926900,20,2.650000095,2.50999999,2.50999999,2.609999895,1065900,2.609999895,3.869999886,3.74000001,3.819999933,3.779999971,581700,3.779999971,23.39999962,20.37999916,22.54999924,20.75,188900,20.75
26-11-2019,20.64999962,19.81999969,20.03700066,20.32999992,1549400,20.32999992,2.700000048,2.50999999,2.609999895,2.519999981,1800100,2.519999981,3.829999924,3.700000048,3.829999924,3.75,870500,3.75,21.45000076,20.48999977,21.03000069,21.36000061,89300,21.36000061
27-11-2019,20.70000076,19.98999977,20.28000069,20.37000084,1561200,20.37000084,2.630000114,2.519999981,2.519999981,2.589999914,830000,2.589999914,4.150000095,3.880000114,4,3.940000057,1666500,3.940000057,21.97999954,21.16500092,21.92000008,21.87999916,29700,21.87999916
29-11-2019,20.93000031,20.28000069,20.60000038,20.36000061,1186700,20.36000061,2.619999886,2.49000001,2.5,2.519999981,607900,2.519999981,5,4.059999943,4.059999943,4.849999905,3692700,4.849999905,23.21500015,21.85000038,22,21.97999954,57000,21.97999954
02-12-2019,20.54000092,19.60000038,20.29999924,19.76000023,1184000,19.76000023,2.569999933,2.410000086,2.519999981,2.50999999,782200,2.50999999,5.639999866,4.949999809,5.139999866,5.21999979,4553500,5.21999979,23.12999916,21.09000015,22.65999985,21.87000084,106500,21.87000084
03-12-2019,21.37000084,19.40999985,19.47999954,21.28000069,1795200,21.28000069,2.579999924,2.430000067,2.430000067,2.549999952,577700,2.549999952,5.119999886,4.650000095,5.119999886,4.769999981,2263500,4.769999981,23.14999962,20.71999931,22.04999924,20.77000046,88400,20.77000046
04-12-2019,21.46999931,20.93300056,21,21.27000046,1980100,21.27000046,2.619999886,2.450000048,2.589999914,2.470000029,800400,2.470000029,4.889999866,4.5,4.809999943,4.880000114,1113400,4.880000114,22.95999908,21.04999924,21.48999977,21.37000084,146500,21.37000084
05-12-2019,21.5,20.56999969,21.48999977,20.63999939,1478100,20.63999939,2.49000001,2.309999943,2.460000038,2.329999924,984200,2.329999924,4.940000057,4.510000229,4.920000076,4.550000191,1288000,4.550000191,22.67000008,21.35000038,21.75,22.48999977,129900,22.48999977
06-12-2019,21.04000092,18.81999969,20.78000069,18.94000053,3537200,18.94000053,2.410000086,2.279999971,2.309999943,2.380000114,1057500,2.380000114,4.630000114,4.329999924,4.619999886,4.349999905,1326700,4.349999905,24.46999931,22.65999985,22.85000038,24.37000084,251500,24.37000084
09-12-2019,19.29999924,18.67000008,19.06999969,18.78000069,2814000,18.78000069,2.539999962,2.349999905,2.359999895,2.460000038,691300,2.460000038,4.46999979,4.159999847,4.349999905,4.159999847,1077400,4.159999847,29.96999931,25,25,29,393900,29
10-12-2019,19.09000015,18.57999992,18.78000069,18.87000084,1619800,18.87000084,2.579999924,2.420000076,2.440000057,2.569999933,856600,2.569999933,4.25,4.070000172,4.170000076,4.170000076,1294300,4.170000076,29.48999977,27.28000069,29,28,180200,28
11-12-2019,19.11000061,18.53000069,19.03000069,18.64999962,1233100,18.64999962,2.650000095,2.549999952,2.569999933,2.640000105,578500,2.640000105,4.289999962,4.059999943,4.139999866,4.090000153,838100,4.090000153,31.29999924,28.64999962,28.70000076,31.29999924,205200,31.29999924
12-12-2019,19.04500008,18.31999969,18.55999947,18.45000076,1313400,18.45000076,2.74000001,2.609999895,2.609999895,2.710000038,662700,2.710000038,4.139999866,3.920000076,4.130000114,3.99000001,1096300,3.99000001,34,28.97999954,32.70000076,29.84000015,380900,29.84000015
13-12-2019,18.71999931,18.31999969,18.46999931,18.62000084,1302400,18.62000084,2.75,2.650000095,2.710000038,2.720000029,561800,2.720000029,4.090000153,3.940000057,4.050000191,4.03000021,1365700,4.03000021,32.84999847,30.70000076,32.15000153,32.45000076,232700,32.45000076
16-12-2019,18.96999931,18.21999931,18.60000038,18.52000046,1785500,18.52000046,2.799999952,2.619999886,2.74000001,2.630000114,818300,2.630000114,4.039999962,3.910000086,4.019999981,4,1089200,4,38.75,34.65999985,38.43999863,35,622900,35
